"vars","MeanDecreaseGini"
"x633",237.645418035921
"x631",221.132991446626
"x1144",183.738346122969
"x1145",165.053330151269
"x1203",162.187390224818
"x1181",161.050782359772
"x725",152.658513919832
"x1152",152.601134608933
"x728",151.043496214661
"x1151",149.052194640563
"x1148",148.842996304107
"x730",148.395509395126
"x1143",147.182776066977
"x920",145.275518378892
"x1183",144.911324435851
"x1150",144.533141145686
"x1147",142.59514997895
"x729",141.278312836424
"x1185",136.004331285251
"x1175",134.136385710196
"x632",114.864772785895
"x1108",110.265570254415
"x1202",109.309477098094
"x164",108.350674050424
"x912",107.502581632559
"x7",101.607659114506
"x477",100.197011501198
"x14",97.5924052811632
"x1204",97.0480064293281
"x1146",91.9149209977398
"x1149",91.7220471985306
"x2",90.5288906259877
"x657",87.1758499331175
"x1133",84.947817590476
"x639",84.6313228509421
"x640",84.5188852541508
"x1",80.26267942798
"x911",78.0934230434511
"x1132",76.4544025224866
"x1157",75.337694802177
"x544",74.3010183111951
"x547",74.1819724113885
"x1184",74.0825284326118
"x472",73.0823849906807
"x545",72.9478925608746
"x548",69.9689853395431
"x897",69.6042313202759
"x546",68.9419970749885
"x1153",68.3504181455375
"x930",68.3468026283881
"x1032",67.5657328692305
"x3",67.4369330950946
"x1037",63.5461384470069
"x1035",62.666524662716
"x754",59.7362940422303
"x162",59.6371788400349
"x1166",57.306549269276
"x1178",56.242724953438
"x4",55.3124970527619
"x896",52.7243617698418
"x163",52.0551932406308
"x963",51.707568455266
"x655",48.4650697413501
"x929",48.4139552151357
"x943",46.7352186325132
"x1039",46.403232697185
"x1033",46.3275471659892
"x910",45.0745695281931
"x964",41.8881149967661
"x893",35.7560165495925
"x1038",32.8446637090841
"x1036",31.7918587423582
"x1176",30.2257596186783
"x1167",28.9356157197137
"x1164",23.7096748192737
"x615",22.5344244488629
"x630",20.8528323782562
"x1182",20.8503795088038
"x1177",19.9248437136442
"x617",19.1414535302004
"x596",18.8610932730426
"x644",18.7998731170156
"x19",18.5662739210934
"x1158",18.0427721292194
"x901",17.0721577774823
"x931",16.6971622463486
"x1159",16.2194119018245
"x614",16.1501566459843
"x616",16.0789390844352
"x645",15.5625745711349
"x934",15.2523877254829
"x1201",15.1288135607426
"x635",14.5998943248557
"x595",13.5506687812858
"x935",13.2403495062948
"x1106",13.1039910973987
"x641",11.935090817114
"x902",11.2976477977085
"x898",10.6029225862389
"x906",10.3461437151443
"x634",9.98454429147776
"x647",9.27744614311735
"x648",9.17874162244848
"x649",8.96035554945779
"x651",8.86681162822289
"x961",8.83803107384228
"x650",7.49532933986034
"x1165",7.42130401102287
"x908",7.14405732445557
"x597",6.05586713360343
"x907",5.91294757861982
"x939",5.85963118241333
"x642",5.750117113537
"x1160",5.4819589122367
"x652",5.10528082608604
"x941",4.36801492506419
"x1161",3.99231253013574
"x940",3.48104454294752
"x909",3.31917913615941
"x942",3.30412435381769
"x646",2.28561512405111
"x638",2.26236319064238
"x1162",2.05931589318441
"x643",2.04716931705321
